27 | 0 12 43 49 57
93 | 0 12 43 52 114
93 | 0 12 43 52 115
92 | 0 12 43 53 114
92 | 0 12 43 53 115
111 | 0 12 43 56 84
95 | 0 12 43 56 112
110 | 0 12 43 57 84
109 | 0 12 43 57 87
94 | 0 12 43 57 112
93 | 0 12 43 57 115
110 | 0 12 43 59 85
94 | 0 12 43 59 113
107 | 0 12 48 54 84
105 | 0 12 48 54 86
93 | 0 12 48 54 100
106 | 0 12 48 55 84
105 | 0 12 48 55 87
94 | 0 12 48 55 98
93 | 0 12 48 55 101
107 | 0 12 49 54 85
104 | 0 12 49 54 86
95 | 0 12 49 54 99
92 | 0 12 49 54 100
106 | 0 12 49 55 85
104 | 0 12 49 55 87
94 | 0 12 49 55 99
92 | 0 12 49 55 101
96 | 0 13 15 33 118
96 | 0 13 15 33 119
109 | 0 13 15 38 86
109 | 0 13 15 38 87
108 | 0 13 15 39 86
108 | 0 13 15 39 87
99 | 0 13 29 48 110
99 | 0 13 29 48 111
98 | 0 13 29 49 110
98 | 0 13 29 49 111
97 | 0 13 29 49 118
97 | 0 13 29 49 119
98 | 0 13 29 53 114
98 | 0 13 29 53 115
56 | 0 13 31 38 50
57 | 0 13 31 38 51
55 | 0 13 31 38 59
59 | 0 13 31 39 51
55 | 0 13 31 39 57
109 | 0 13 31 44 106
109 | 0 13 31 44 107
108 | 0 13 31 45 106
108 | 0 13 31 45 107
111 | 0 13 31 56 104
110 | 0 13 31 57 104
109 | 0 13 31 57 107
110 | 0 13 31 59 105
115 | 0 13 36 56 84
114 | 0 13 36 57 84
113 | 0 13 36 57 87
114 | 0 13 36 59 85
108 | 0 13 37 39 86
108 | 0 13 37 39 87
93 | 0 13 37 44 114
93 | 0 13 37 44 115
92 | 0 13 37 45 114
92 | 0 13 37 45 115
27 | 0 13 37 49 57
93 | 0 13 37 52 114
93 | 0 13 37 52 115
92 | 0 13 37 53 114
92 | 0 13 37 53 115
111 | 0 13 37 56 84
95 | 0 13 37 56 112
110 | 0 13 37 57 84
109 | 0 13 37 57 87
94 | 0 13 37 57 112
93 | 0 13 37 57 115
110 | 0 13 37 59 85
94 | 0 13 37 59 113
93 | 0 13 42 52 106
93 | 0 13 42 52 107
92 | 0 13 42 53 106
92 | 0 13 42 53 107
93 | 0 13 43 48 106
93 | 0 13 43 48 107
92 | 0 13 43 49 106
92 | 0 13 43 49 107
100 | 0 13 48 55 84
99 | 0 13 48 55 87
93 | 0 13 48 55 107
101 | 0 13 49 54 85
98 | 0 13 49 54 86
95 | 0 13 49 54 105
92 | 0 13 49 54 106
100 | 0 13 49 55 85
98 | 0 13 49 55 87
94 | 0 13 49 55 105
92 | 0 13 49 55 107
94 | 0 37 44 51 66
93 | 0 37 44 51 69
90 | 0 37 44 53 68
90 | 0 37 44 53 69
94 | 0 37 44 59 65
90 | 0 37 44 59 69
90 | 0 37 45 52 68
90 | 0 37 45 52 69
94 | 0 37 45 57 65
98 | 1 3 14 25 110
98 | 1 3 14 25 111
80 | 1 3 14 52 116
80 | 1 3 14 52 117
80 | 1 3 14 53 118
80 | 1 3 14 53 119
98 | 1 3 15 25 114
98 | 1 3 15 25 115
80 | 1 3 15 49 118
80 | 1 3 15 49 119
108 | 1 3 23 39 68
108 | 1 3 23 39 69
98 | 1 3 23 49 68
98 | 1 3 23 49 69
103 | 1 12 14 25 118
103 | 1 12 14 25 119
113 | 1 12 14 44 94
113 | 1 12 14 44 95
112 | 1 12 14 45 94
112 | 1 12 14 45 95
102 | 1 12 15 25 118
102 | 1 12 15 25 119
109 | 1 12 15 44 94
109 | 1 12 15 44 95
108 | 1 12 15 45 94
108 | 1 12 15 45 95
104 | 1 12 15 49 94
104 | 1 12 15 49 95
57 | 1 12 23 44 51
55 | 1 12 23 44 59
55 | 1 12 23 45 57
105 | 1 12 23 52 114
105 | 1 12 23 52 115
104 | 1 12 23 53 114
104 | 1 12 23 53 115
110 | 1 12 23 57 98
109 | 1 12 23 57 101
106 | 1 12 23 57 112
105 | 1 12 23 57 115
110 | 1 12 23 59 99
106 | 1 12 23 59 113
84 | 1 12 29 49 110
84 | 1 12 29 49 111
83 | 1 12 29 49 118
83 | 1 12 29 49 119
84 | 1 12 29 53 114
84 | 1 12 29 53 115
112 | 1 12 30 45 94
112 | 1 12 30 45 95
105 | 1 12 30 52 94
105 | 1 12 30 52 95
104 | 1 12 30 53 94
104 | 1 12 30 53 95
108 | 1 12 31 45 94
108 | 1 12 31 45 95
104 | 1 12 31 49 94
104 | 1 12 31 49 95
108 | 1 12 43 45 94
108 | 1 12 43 45 95
35 | 1 12 43 49 57
85 | 1 12 43 52 114
85 | 1 12 43 52 115
84 | 1 12 43 53 114
84 | 1 12 43 53 115
110 | 1 12 43 57 92
109 | 1 12 43 57 95
86 | 1 12 43 57 112
85 | 1 12 43 57 115
110 | 1 12 43 59 93
86 | 1 12 43 59 113
107 | 1 12 49 54 93
104 | 1 12 49 54 94
84 | 1 12 49 54 100
106 | 1 12 49 55 93
104 | 1 12 49 55 95
86 | 1 12 49 55 99
84 | 1 12 49 55 101
108 | 1 13 15 39 94
108 | 1 13 15 39 95
84 | 1 13 28 49 110
84 | 1 13 28 49 111
83 | 1 13 28 49 118
83 | 1 13 28 49 119
84 | 1 13 28 53 114
84 | 1 13 28 53 115
112 | 1 13 30 39 94
112 | 1 13 30 39 95
98 | 1 13 30 53 94
98 | 1 13 30 53 95
108 | 1 13 31 39 94
108 | 1 13 31 39 95
98 | 1 13 31 49 94
98 | 1 13 31 49 95
110 | 1 13 37 57 92
109 | 1 13 37 57 95
110 | 1 13 37 59 93
84 | 1 13 43 49 106
84 | 1 13 43 49 107
100 | 1 13 49 55 93
98 | 1 13 49 55 95
84 | 1 13 49 55 107
